team1_strength,team2_strength,team1_recent_form,team2_recent_form,team1_home,toss_win,batting_first,avg_team1_score,avg_team2_score,team1_win_pct,team2_win_pct,pitch_type,venue_city,weather,pressure_match,team1_win
98,68,0,2,1,0,1,186,161,57.81615417349171,46.909440261695366,Batting,Delhi,Clear,0,1
88,67,0,0,1,0,0,183,179,45.64440781628227,47.59126617459689,Batting,Pune,Clear,1,1
74,92,4,0,0,0,1,180,162,66.64026538007914,68.19454562301627,Batting,Delhi,Humid,0,1
67,65,4,4,1,0,1,171,198,64.25147293718348,51.8773345228805,Batting,Pune,Clear,1,1
80,98,4,3,1,0,1,165,188,55.61581338427491,61.55044973562228,Bowling,Pune,Clear,1,0
98,63,3,1,0,1,1,189,143,61.7262949244008,58.36795686189629,Batting,Mumbai,Humid,0,1
78,72,4,1,0,0,1,192,190,50.98985574096275,48.56763039382169,Bowling,Pune,Humid,0,1
82,61,0,1,0,0,0,153,193,41.103333781992696,59.60686665874075,Bowling,Mumbai,Humid,1,1
70,64,4,3,1,0,1,191,196,67.1299854259762,59.6669770287092,Batting,Pune,Humid,0,1
70,86,1,4,1,0,1,196,180,43.83380464773466,57.77329556227229,Batting,Pune,Clear,0,0
83,91,4,3,1,0,0,175,162,68.43812039138955,42.989824745485386,Bowling,Pune,Humid,1,1
95,80,3,0,1,1,0,147,186,57.1564776479833,69.85515467122113,Batting,Mumbai,Humid,0,1
99,67,1,0,0,0,1,179,199,49.166891830642896,52.01249383512482,Batting,Delhi,Clear,0,1
83,97,0,1,1,1,0,161,148,54.86573869935534,59.147529561909664,Batting,Mumbai,Humid,1,0
62,67,0,2,0,0,0,161,163,55.04889426769282,66.57285082337859,Batting,Pune,Humid,1,0
81,62,2,1,1,1,0,155,160,40.69861238327746,52.69865465259509,Bowling,Delhi,Clear,0,1
61,62,1,2,1,1,0,166,180,50.66379555652416,63.21775170416646,Bowling,Pune,Humid,0,0
83,81,2,3,0,0,0,195,185,62.19597398628753,69.15473274038217,Batting,Mumbai,Humid,0,0
89,65,1,0,1,0,0,199,194,55.30207566852124,50.76804280759145,Bowling,Mumbai,Clear,1,1
97,61,1,2,1,0,1,199,192,47.32690351028752,52.1580871069821,Bowling,Delhi,Clear,1,1
61,82,3,3,0,0,1,149,155,50.05329580110832,67.16728176989706,Batting,Mumbai,Clear,0,0
80,61,2,0,1,0,0,164,195,65.89163179347847,44.789286034455486,Batting,Pune,Clear,0,1
92,97,3,2,0,1,0,170,194,55.766490104506886,40.85784515078327,Bowling,Delhi,Clear,0,0
71,76,1,1,0,0,1,160,164,55.85056367653708,67.26667014547336,Bowling,Pune,Clear,1,0
81,94,0,1,0,0,0,166,165,68.8440237715303,64.6477472235274,Bowling,Delhi,Clear,1,0
84,93,1,1,0,1,1,156,188,49.6264419710993,69.17749097653996,Batting,Delhi,Clear,0,0
